"Espécie","Nome comum","Variedade","Tipo Plantação","Sementeira/Plantação","Poda","Floração","Colheita"
"Prunus domestica","Ameixoeira","RAINHA CLAUDIA CARANGUEJEIRA","Permanente","","Novembro a dezembro","Fevereiro a março","Julho a agosto"
"Prunus domestica","Ameixoeira","PRESIDENT","Permanente","","Novembro a dezembro","Fevereiro a março","Julho a agosto"
"Prunus domestica","Ameixoeira","STANLEY","Permanente","","Novembro a dezembro","Fevereiro a março","Julho a agosto"
"Prunus domestica","Ameixoeira","ANGELENO","Permanente","","Novembro a dezembro","Fevereiro a março","Julho a agosto"
"Prunus domestica","Ameixoeira","BLACK BEAUTY","Permanente","","Novembro a dezembro","Fevereiro a março","Julho a agosto"
"Prunus domestica","Ameixoeira","BLACK STAR","Permanente","","Novembro a dezembro","Fevereiro a março","Julho a agosto"
"Prunus domestica","Ameixoeira","BLACK GOLD","Permanente","","Novembro a dezembro","Fevereiro a março","Julho a agosto"
"Prunus domestica","Ameixoeira","BLACK DIAMOND","Permanente","","Novembro a dezembro","Fevereiro a março","Julho a agosto"
"Prunus domestica","Ameixoeira","BLACK AMBER","Permanente","","Novembro a dezembro","Fevereiro a março","Julho a agosto"
"Prunus domestica","Ameixoeira","BLACK SPLENDOR","Permanente","","Novembro a dezembro","Fevereiro a março","Julho a agosto"
"Prunus domestica","Ameixoeira","FORTUNA","Permanente","","Novembro a dezembro","Fevereiro a março","Julho a agosto"
"Prunus domestica","Ameixoeira","FRIAR","Permanente","","Novembro a dezembro","Fevereiro a março","Julho a agosto"
"Prunus domestica","Ameixoeira","EL DORADO","Permanente","","Novembro a dezembro","Fevereiro a março","Julho a agosto"
"Prunus domestica","Ameixoeira","ELEPHANT HEART","Permanente","","Novembro a dezembro","Fevereiro a março","Julho a agosto"
"Prunus domestica","Ameixoeira","GOLDEN JAPAN","Permanente","","Novembro a dezembro","Fevereiro a março","Julho a agosto"
"Prunus domestica","Ameixoeira","HARRY PITCHON","Permanente","","Novembro a dezembro","Fevereiro a março","Julho a agosto"
"Prunus domestica","Ameixoeira","LAETITIA","Permanente","","Novembro a dezembro","Fevereiro a março","Julho a agosto"
"Prunus domestica","Ameixoeira","METLEY","Permanente","","Novembro a dezembro","Fevereiro a março","Julho a agosto"
"Prunus domestica","Ameixoeira","MIRABELLE DE NANCY","Permanente","","Novembro a dezembro","Fevereiro a março","Julho a agosto"
"Prunus domestica","Ameixoeira","QUEEN ROSE","Permanente","","Novembro a dezembro","Fevereiro a março","Julho a agosto"
"Prunus domestica","Ameixoeira","RED BEAUT","Permanente","","Novembro a dezembro","Fevereiro a março","Julho a agosto"
"Prunus domestica","Ameixoeira","SANTA ROSA","Permanente","","Novembro a dezembro","Fevereiro a março","Julho a agosto"
"Prunus domestica","Ameixoeira","SHIRO","Permanente","","Novembro a dezembro","Fevereiro a março","Julho a agosto"
"Prunus domestica","Ameixoeira","SUNGOLD","Permanente","","Novembro a dezembro","Fevereiro a março","Julho a agosto"
"Prunus domestica","Ameixoeira","WILSON PERFECTION","Permanente","","Novembro a dezembro","Fevereiro a março","Julho a agosto"
"Prunus domestica","Ameixoeira","AUTUMN GIANT","Permanente","","Novembro a dezembro","Fevereiro a março","Julho a agosto"
"Prunus armeniaca","Damasqueiro","BULIDA","Permanente","","Novembro a dezembro","Fevereiro a março","Julho a agosto"
"Prunus armeniaca","Damasqueiro","CANINO","Permanente","","Novembro a dezembro","Fevereiro a março","Julho a agosto"
"Prunus armeniaca","Damasqueiro","LIABAUD","Permanente","","Novembro a dezembro","Fevereiro a março","Julho a agosto"
"Prunus armeniaca","Damasqueiro","MAILLOT JAUNE","Permanente","","Novembro a dezembro","Fevereiro a março","Julho a agosto"
"Prunus armeniaca","Damasqueiro","POLONAIS","Permanente","","Novembro a dezembro","Fevereiro a março","Julho a agosto"
"Malus domestica","Macieira","AKANE","Permanente","","Novembro a dezembro","Março a abril","Agosto a setembro"
